Match Number,Team id,Batter id,Runs,Balls,Fours,Sixes,Strike Rate,Out/Not
15,3,47,9,10,1,0,90.00,c Dinesh Karthik b Wayne Parnell
15,3,50,0,2,0,0,0.00,c Dinesh Karthik b Wayne Parnell
15,3,49,65,30,6,5,216.67,c Shahbaz Ahmed b KV Sharma
15,3,46,62,19,4,7,326.32,c Shahbaz Ahmed b Mohammed Siraj
15,3,48,30,24,4,0,125.00,hit wicket (Wayne Parnell)
15,3,55,9,7,1,0,128.57,c F du Plessis b HV Patel
15,3,53,1,2,0,0,50.00,b HV Patel
15,3,54,3,2,0,0,150.00,Not out
15,3,52,0,1,0,0,0.00,Not out
16,5,57,51,47,6,0,108.51,c Riley Meredith b JP Behrendorff
16,5,58,15,10,3,0,150.00,c C Green b H Shokeen
16,5,127,26,18,5,0,144.44,c JP Behrendorff b Piyush Chawla
16,5,145,2,4,0,0,50.00,c N Wadhera b Riley Meredith
16,5,59,4,4,1,0,100.00,lbw b Piyush Chawla
16,5,126,2,4,0,0,50.00,b Piyush Chawla
16,5,62,54,25,4,5,216.00,c Arshad Khan b JP Behrendorff
16,5,112,1,3,0,0,33.33,c C Green b JP Behrendorff
16,5,63,0,1,0,0,0.00,runout (N Wadhera)
16,5,114,5,3,1,0,166.67,b Riley Meredith
16,5,146,1,1,0,0,100.00,Not out
16,10,101,65,45,6,4,144.44,c Abishek Porel b Mustafizur Rahman
